n,repetition,seed,method,dimension,runtime_seconds,status,error,timing_scope
1000,3,21161021,OT,50,34.31050620879978,SUCCESS,,evaluate_only
1000,3,21161021,EOT,50,34.29027960030362,SUCCESS,,evaluate_only
1000,3,21161021,FDFI,50,94.0982145681046,SUCCESS,,evaluate_only
1000,3,21161021,SHAP,10,1605.608232929837,SUCCESS,,evaluate_only
200,4,21161121,CPI,50,89.03301534987986,SUCCESS,,evaluate_only
200,4,21161121,LOCO,50,97.0940404040739,SUCCESS,,evaluate_only
200,4,21161121,nLOCO,50,207.38755713077262,SUCCESS,,evaluate_only
200,4,21161121,dLOCO,50,122.33886524429545,SUCCESS,,evaluate_only
200,4,21161121,OT,50,6.969607905019075,SUCCESS,,evaluate_only
200,4,21161121,EOT,50,6.343201938550919,SUCCESS,,evaluate_only
200,4,21161121,FDFI,50,27.067303908988833,SUCCESS,,evaluate_only
200,4,21161121,SHAP,10,1475.6958305560984,SUCCESS,,evaluate_only
400,4,21161121,CPI,50,109.09724722988904,SUCCESS,,evaluate_only
400,4,21161121,LOCO,50,104.24578473903239,SUCCESS,,evaluate_only
400,4,21161121,nLOCO,50,213.87010620487854,SUCCESS,,evaluate_only
400,4,21161121,dLOCO,50,167.20561695983633,SUCCESS,,evaluate_only
400,4,21161121,OT,50,13.43179385503754,SUCCESS,,evaluate_only
400,4,21161121,EOT,50,11.093105176929384,SUCCESS,,evaluate_only
400,4,21161121,FDFI,50,45.23322137212381,SUCCESS,,evaluate_only
400,4,21161121,SHAP,10,1537.7886054469272,SUCCESS,,evaluate_only
600,4,21161121,CPI,50,122.94499041326344,SUCCESS,,evaluate_only
600,4,21161121,LOCO,50,97.35538760432974,SUCCESS,,evaluate_only
600,4,21161121,nLOCO,50,203.22726655192673,SUCCESS,,evaluate_only
600,4,21161121,dLOCO,50,236.10674936696887,SUCCESS,,evaluate_only
600,4,21161121,OT,50,19.68741482589394,SUCCESS,,evaluate_only
600,4,21161121,EOT,50,18.000468983780593,SUCCESS,,evaluate_only
600,4,21161121,FDFI,50,57.686649952083826,SUCCESS,,evaluate_only
600,4,21161121,SHAP,10,1497.194047267083,SUCCESS,,evaluate_only
800,4,21161121,CPI,50,145.13046343484893,SUCCESS,,evaluate_only
800,4,21161121,LOCO,50,95.99830454401672,SUCCESS,,evaluate_only
800,4,21161121,nLOCO,50,207.02893248200417,SUCCESS,,evaluate_only
800,4,21161121,dLOCO,50,320.1217676619999,SUCCESS,,evaluate_only
800,4,21161121,OT,50,26.819387804251164,SUCCESS,,evaluate_only
800,4,21161121,EOT,50,26.404783485922962,SUCCESS,,evaluate_only
800,4,21161121,FDFI,50,77.59174070693552,SUCCESS,,evaluate_only
800,4,21161121,SHAP,10,1537.2773228548467,SUCCESS,,evaluate_only
1000,4,21161121,CPI,50,163.61477165995166,SUCCESS,,evaluate_only
1000,4,21161121,LOCO,50,97.37453659623861,SUCCESS,,evaluate_only
1000,4,21161121,nLOCO,50,195.01237972080708,SUCCESS,,evaluate_only
1000,4,21161121,dLOCO,50,391.8452535760589,SUCCESS,,evaluate_only
1000,4,21161121,OT,50,34.46451423224062,SUCCESS,,evaluate_only
1000,4,21161121,EOT,50,34.467733641620725,SUCCESS,,evaluate_only
1000,4,21161121,FDFI,50,94.72502557514235,SUCCESS,,evaluate_only
1000,4,21161121,SHAP,10,1635.089857053943,SUCCESS,,evaluate_only
200,5,21161221,CPI,50,88.06885556690395,SUCCESS,,evaluate_only
200,5,21161221,LOCO,50,97.86159250605851,SUCCESS,,evaluate_only
200,5,21161221,nLOCO,50,207.68150128424168,SUCCESS,,evaluate_only
200,5,21161221,dLOCO,50,122.28456788090989,SUCCESS,,evaluate_only
200,5,21161221,OT,50,7.384489126037806,SUCCESS,,evaluate_only
200,5,21161221,EOT,50,5.451538873370737,SUCCESS,,evaluate_only
200,5,21161221,FDFI,50,26.196705217007548,SUCCESS,,evaluate_only
